name,degreein,date
41,19,2019-09-21
154,8,2019-09-21
270,4,2019-09-21
86,1,2019-09-21
89,0,2019-09-21
229,0,2019-09-21
242,0,2019-09-21
159,0,2019-09-21
188,0,2019-09-21
94,0,2019-09-21
34,0,2019-09-21
207,0,2019-09-21
235,0,2019-09-21
233,0,2019-09-21
153,0,2019-09-21
262,0,2019-09-21
31,0,2019-09-21
1,0,2019-09-21
181,0,2019-09-21
278,0,2019-09-21
69,0,2019-09-21
149,0,2019-09-21
151,0,2019-09-21
70,0,2019-09-21
142,0,2019-09-21
161,0,2019-09-21
108,0,2019-09-21
94,8,2019-09-22
1,8,2019-09-22
142,6,2019-09-22
9,5,2019-09-22
41,5,2019-09-22
242,3,2019-09-22
188,2,2019-09-22
153,2,2019-09-22
31,1,2019-09-22
89,0,2019-09-22
229,0,2019-09-22
159,0,2019-09-22
34,0,2019-09-22
207,0,2019-09-22
86,0,2019-09-22
235,0,2019-09-22
270,0,2019-09-22
233,0,2019-09-22
262,0,2019-09-22
181,0,2019-09-22
278,0,2019-09-22
69,0,2019-09-22
149,0,2019-09-22
151,0,2019-09-22
154,0,2019-09-22
70,0,2019-09-22
161,0,2019-09-22
108,0,2019-09-22
70,26,2019-09-23
154,25,2019-09-23
41,24,2019-09-23
229,16,2019-09-23
9,13,2019-09-23
1,11,2019-09-23
142,11,2019-09-23
153,7,2019-09-23
242,4,2019-09-23
94,4,2019-09-23
161,4,2019-09-23
188,3,2019-09-23
181,3,2019-09-23
278,3,2019-09-23
233,2,2019-09-23
34,1,2019-09-23
270,1,2019-09-23
31,1,2019-09-23
89,0,2019-09-23
159,0,2019-09-23
207,0,2019-09-23
86,0,2019-09-23
235,0,2019-09-23
262,0,2019-09-23
69,0,2019-09-23
149,0,2019-09-23
151,0,2019-09-23
108,0,2019-09-23
154,78,2019-09-24
41,73,2019-09-24
9,67,2019-09-24
229,63,2019-09-24
233,62,2019-09-24
70,61,2019-09-24
188,57,2019-09-24
149,55,2019-09-24
242,51,2019-09-24
181,50,2019-09-24
270,46,2019-09-24
31,46,2019-09-24
159,45,2019-09-24
278,45,2019-09-24
153,44,2019-09-24
86,43,2019-09-24
94,42,2019-09-24
207,42,2019-09-24
235,42,2019-09-24
262,42,2019-09-24
1,42,2019-09-24
69,42,2019-09-24
151,42,2019-09-24
108,42,2019-09-24
89,39,2019-09-24
34,33,2019-09-24
161,7,2019-09-24
142,6,2019-09-24
188,17,2019-09-25
31,17,2019-09-25
154,14,2019-09-25
70,14,2019-09-25
161,11,2019-09-25
270,9,2019-09-25
233,9,2019-09-25
142,9,2019-09-25
159,8,2019-09-25
149,8,2019-09-25
278,7,2019-09-25
242,5,2019-09-25
262,5,2019-09-25
94,4,2019-09-25
153,4,2019-09-25
1,4,2019-09-25
89,3,2019-09-25
229,3,2019-09-25
34,3,2019-09-25
207,3,2019-09-25
86,3,2019-09-25
235,3,2019-09-25
9,3,2019-09-25
181,3,2019-09-25
69,3,2019-09-25
151,3,2019-09-25
41,3,2019-09-25
108,3,2019-09-25
149,40,2019-09-26
235,39,2019-09-26
153,39,2019-09-26
233,37,2019-09-26
31,37,2019-09-26
94,36,2019-09-26
242,35,2019-09-26
1,35,2019-09-26
159,30,2019-09-26
108,30,2019-09-26
89,29,2019-09-26
229,29,2019-09-26
151,29,2019-09-26
154,29,2019-09-26
70,29,2019-09-26
41,29,2019-09-26
34,28,2019-09-26
86,28,2019-09-26
188,27,2019-09-26
270,27,2019-09-26
9,27,2019-09-26
262,27,2019-09-26
69,27,2019-09-26
207,24,2019-09-26
181,21,2019-09-26
278,21,2019-09-26
142,7,2019-09-26
161,0,2019-09-26
235,40,2019-09-27
242,29,2019-09-27
188,28,2019-09-27
153,27,2019-09-27
31,10,2019-09-27
233,9,2019-09-27
89,8,2019-09-27
108,8,2019-09-27
34,7,2019-09-27
154,5,2019-09-27
149,4,2019-09-27
69,3,2019-09-27
159,2,2019-09-27
262,2,2019-09-27
151,2,2019-09-27
70,2,2019-09-27
94,1,2019-09-27
86,1,2019-09-27
270,1,2019-09-27
1,1,2019-09-27
161,1,2019-09-27
41,1,2019-09-27
229,0,2019-09-27
207,0,2019-09-27
9,0,2019-09-27
181,0,2019-09-27
278,0,2019-09-27
142,0,2019-09-27
41,50,2019-09-28
69,43,2019-09-28
235,37,2019-09-28
153,34,2019-09-28
108,25,2019-09-28
188,22,2019-09-28
89,21,2019-09-28
154,21,2019-09-28
229,20,2019-09-28
31,20,2019-09-28
181,17,2019-09-28
70,17,2019-09-28
9,15,2019-09-28
242,14,2019-09-28
34,14,2019-09-28
262,14,2019-09-28
159,13,2019-09-28
86,13,2019-09-28
233,13,2019-09-28
142,13,2019-09-28
94,12,2019-09-28
207,12,2019-09-28
1,12,2019-09-28
278,12,2019-09-28
149,12,2019-09-28
151,12,2019-09-28
270,11,2019-09-28
161,0,2019-09-28
235,40,2019-09-29
153,35,2019-09-29
188,28,2019-09-29
242,27,2019-09-29
1,26,2019-09-29
142,20,2019-09-29
94,17,2019-09-29
69,14,2019-09-29
89,12,2019-09-29
41,12,2019-09-29
108,10,2019-09-29
229,9,2019-09-29
159,9,2019-09-29
207,9,2019-09-29
270,9,2019-09-29
233,9,2019-09-29
9,9,2019-09-29
262,9,2019-09-29
181,9,2019-09-29
278,9,2019-09-29
149,9,2019-09-29
151,9,2019-09-29
154,9,2019-09-29
70,9,2019-09-29
34,7,2019-09-29
31,7,2019-09-29
86,6,2019-09-29
161,0,2019-09-29
154,54,2019-09-30
188,53,2019-09-30
70,53,2019-09-30
108,50,2019-09-30
229,49,2019-09-30
31,49,2019-09-30
41,49,2019-09-30
159,48,2019-09-30
9,48,2019-09-30
242,47,2019-09-30
235,47,2019-09-30
69,47,2019-09-30
149,47,2019-09-30
89,46,2019-09-30
262,46,2019-09-30
270,45,2019-09-30
1,45,2019-09-30
94,44,2019-09-30
278,44,2019-09-30
86,43,2019-09-30
153,43,2019-09-30
207,42,2019-09-30
181,42,2019-09-30
151,42,2019-09-30
233,37,2019-09-30
34,33,2019-09-30
161,8,2019-09-30
142,2,2019-09-30
242,97,2019-10-01
188,90,2019-10-01
159,85,2019-10-01
154,85,2019-10-01
31,82,2019-10-01
233,81,2019-10-01
181,80,2019-10-01
69,78,2019-10-01
70,78,2019-10-01
89,77,2019-10-01
34,77,2019-10-01
149,77,2019-10-01
229,76,2019-10-01
270,76,2019-10-01
9,76,2019-10-01
108,74,2019-10-01
235,72,2019-10-01
41,72,2019-10-01
94,71,2019-10-01
151,71,2019-10-01
207,69,2019-10-01
86,69,2019-10-01
153,69,2019-10-01
262,69,2019-10-01
1,66,2019-10-01
278,62,2019-10-01
161,14,2019-10-01
142,3,2019-10-01
154,106,2019-10-02
41,101,2019-10-02
70,100,2019-10-02
235,92,2019-10-02
229,87,2019-10-02
9,82,2019-10-02
188,80,2019-10-02
31,79,2019-10-02
159,69,2019-10-02
262,65,2019-10-02
108,65,2019-10-02
89,64,2019-10-02
233,64,2019-10-02
1,64,2019-10-02
86,63,2019-10-02
153,62,2019-10-02
181,62,2019-10-02
242,61,2019-10-02
149,61,2019-10-02
94,60,2019-10-02
207,60,2019-10-02
270,60,2019-10-02
278,60,2019-10-02
151,60,2019-10-02
69,56,2019-10-02
34,55,2019-10-02
142,0,2019-10-02
161,0,2019-10-02
69,54,2019-10-03
41,54,2019-10-03
154,51,2019-10-03
70,48,2019-10-03
188,44,2019-10-03
9,41,2019-10-03
108,41,2019-10-03
159,40,2019-10-03
31,40,2019-10-03
94,39,2019-10-03
233,37,2019-10-03
151,37,2019-10-03
153,36,2019-10-03
235,35,2019-10-03
1,35,2019-10-03
229,33,2019-10-03
86,33,2019-10-03
270,33,2019-10-03
262,33,2019-10-03
181,33,2019-10-03
149,33,2019-10-03
278,32,2019-10-03
207,31,2019-10-03
242,30,2019-10-03
34,30,2019-10-03
89,28,2019-10-03
161,6,2019-10-03
142,3,2019-10-03
94,16,2019-10-04
1,16,2019-10-04
278,16,2019-10-04
89,15,2019-10-04
229,15,2019-10-04
159,15,2019-10-04
188,15,2019-10-04
34,15,2019-10-04
86,15,2019-10-04
235,15,2019-10-04
270,15,2019-10-04
233,15,2019-10-04
9,15,2019-10-04
153,15,2019-10-04
262,15,2019-10-04
31,15,2019-10-04
181,15,2019-10-04
69,15,2019-10-04
149,15,2019-10-04
151,15,2019-10-04
154,15,2019-10-04
70,15,2019-10-04
41,15,2019-10-04
108,15,2019-10-04
242,12,2019-10-04
207,12,2019-10-04
142,1,2019-10-04
161,0,2019-10-04
89,3,2019-10-05
229,3,2019-10-05
242,3,2019-10-05
159,3,2019-10-05
188,3,2019-10-05
94,3,2019-10-05
34,3,2019-10-05
207,3,2019-10-05
86,3,2019-10-05
