name,degreein,date
34,97,2020-03-01
41,97,2020-03-01
1,95,2020-03-01
161,91,2020-03-01
151,79,2020-03-01
233,72,2020-03-01
262,72,2020-03-01
242,67,2020-03-01
181,65,2020-03-01
149,63,2020-03-01
9,61,2020-03-01
86,59,2020-03-01
108,59,2020-03-01
229,58,2020-03-01
235,21,2020-03-01
188,20,2020-03-01
31,20,2020-03-01
142,18,2020-03-01
153,16,2020-03-01
41,169,2020-03-08
108,144,2020-03-08
94,136,2020-03-08
207,93,2020-03-08
159,91,2020-03-08
233,91,2020-03-08
69,90,2020-03-08
154,83,2020-03-08
153,77,2020-03-08
142,67,2020-03-08
188,59,2020-03-08
181,58,2020-03-08
89,56,2020-03-08
86,53,2020-03-08
34,52,2020-03-08
235,43,2020-03-08
270,39,2020-03-08
1,38,2020-03-08
278,37,2020-03-08
70,36,2020-03-08
262,27,2020-03-08
149,27,2020-03-08
9,26,2020-03-08
242,25,2020-03-08
161,24,2020-03-08
31,21,2020-03-08
151,20,2020-03-08
229,11,2020-03-08
233,510,2020-03-15
181,448,2020-03-15
86,440,2020-03-15
94,431,2020-03-15
34,409,2020-03-15
207,398,2020-03-15
159,388,2020-03-15
41,341,2020-03-15
89,335,2020-03-15
69,304,2020-03-15
154,300,2020-03-15
108,299,2020-03-15
70,287,2020-03-15
188,285,2020-03-15
9,270,2020-03-15
149,269,2020-03-15
151,254,2020-03-15
1,250,2020-03-15
229,247,2020-03-15
270,246,2020-03-15
278,246,2020-03-15
262,242,2020-03-15
242,229,2020-03-15
31,213,2020-03-15
235,208,2020-03-15
153,203,2020-03-15
161,78,2020-03-15
142,16,2020-03-15
181,709,2020-03-22
86,685,2020-03-22
34,652,2020-03-22
207,613,2020-03-22
94,596,2020-03-22
89,562,2020-03-22
41,551,2020-03-22
159,540,2020-03-22
233,482,2020-03-22
154,415,2020-03-22
70,408,2020-03-22
151,405,2020-03-22
270,402,2020-03-22
278,400,2020-03-22
229,395,2020-03-22
108,391,2020-03-22
1,390,2020-03-22
69,386,2020-03-22
262,385,2020-03-22
9,371,2020-03-22
188,356,2020-03-22
235,351,2020-03-22
242,341,2020-03-22
153,337,2020-03-22
149,317,2020-03-22
31,315,2020-03-22
161,54,2020-03-22
142,33,2020-03-22
86,738,2020-03-29
181,685,2020-03-29
34,621,2020-03-29
94,449,2020-03-29
207,426,2020-03-29
159,383,2020-03-29
89,364,2020-03-29
270,338,2020-03-29
9,337,2020-03-29
233,324,2020-03-29
41,321,2020-03-29
1,315,2020-03-29
149,307,2020-03-29
262,305,2020-03-29
278,300,2020-03-29
154,298,2020-03-29
188,297,2020-03-29
70,291,2020-03-29
151,290,2020-03-29
229,287,2020-03-29
108,277,2020-03-29
69,261,2020-03-29
242,259,2020-03-29
235,234,2020-03-29
31,215,2020-03-29
153,209,2020-03-29
161,74,2020-03-29
142,7,2020-03-29
181,624,2020-04-05
34,605,2020-04-05
86,535,2020-04-05
229,468,2020-04-05
9,449,2020-04-05
159,425,2020-04-05
151,360,2020-04-05
94,347,2020-04-05
278,344,2020-04-05
1,332,2020-04-05
270,330,2020-04-05
262,329,2020-04-05
89,309,2020-04-05
41,306,2020-04-05
154,299,2020-04-05
70,289,2020-04-05
207,287,2020-04-05
69,279,2020-04-05
149,266,2020-04-05
188,264,2020-04-05
233,239,2020-04-05
31,232,2020-04-05
108,215,2020-04-05
235,196,2020-04-05
153,191,2020-04-05
242,187,2020-04-05
161,44,2020-04-05
142,26,2020-04-05
181,310,2020-04-12
86,290,2020-04-12
34,248,2020-04-12
151,223,2020-04-12
278,181,2020-04-12
1,166,2020-04-12
270,160,2020-04-12
229,157,2020-04-12
9,147,2020-04-12
207,144,2020-04-12
94,136,2020-04-12
154,136,2020-04-12
41,132,2020-04-12
159,128,2020-04-12
70,125,2020-04-12
89,124,2020-04-12
69,91,2020-04-12
233,82,2020-04-12
188,74,2020-04-12
108,72,2020-04-12
262,71,2020-04-12
149,66,2020-04-12
242,50,2020-04-12
161,40,2020-04-12
235,36,2020-04-12
153,36,2020-04-12
31,31,2020-04-12
142,0,2020-04-12
181,479,2020-04-19
86,453,2020-04-19
34,436,2020-04-19
94,349,2020-04-19
207,347,2020-04-19
1,326,2020-04-19
278,319,2020-04-19
270,310,2020-04-19
159,286,2020-04-19
89,264,2020-04-19
41,244,2020-04-19
151,230,2020-04-19
154,228,2020-04-19
69,211,2020-04-19
70,196,2020-04-19
229,193,2020-04-19
108,153,2020-04-19
188,148,2020-04-19
233,144,2020-04-19
9,125,2020-04-19
235,103,2020-04-19
262,94,2020-04-19
31,94,2020-04-19
149,93,2020-04-19
242,91,2020-04-19
153,87,2020-04-19
142,35,2020-04-19
161,18,2020-04-19
86,673,2020-04-26
181,660,2020-04-26
34,540,2020-04-26
207,369,2020-04-26
89,316,2020-04-26
70,301,2020-04-26
