pair_key,friendship,friendship_strength,lost_con,lockdown
1 2,0.12,0.32999999999999996,TRUE,FALSE
1 2,0.24,0.3,FALSE,FALSE
1 2,1.56,0.51,FALSE,FALSE
1 2,0.96,0.72,FALSE,FALSE
1 2,0.12,0.72,TRUE,FALSE
1 2,0.12,0.69,TRUE,FALSE
1 2,1.08,0.5700000000000001,FALSE,FALSE
1 2,0.48,0.45,FALSE,FALSE
1 2,0.12,0.45,TRUE,FALSE
1 2,0.12,0.45,TRUE,FALSE
1 2,0.12,0.21,FALSE,FALSE
1 2,0.72,0.27,FALSE,TRUE
1 2,0.48,0.36,FALSE,TRUE
1 2,0.84,0.54,FALSE,TRUE
1 2,1.3199999999999998,0.8399999999999999,FALSE,TRUE
1 2,0.36,0.7499999999999999,TRUE,TRUE
1 2,0.12,0.6599999999999999,TRUE,TRUE
1 2,0.24,0.5099999999999999,TRUE,TRUE
1 2,0.6,0.32999999999999996,FALSE,TRUE
1 2,0.32,0.31999999999999995,FALSE,TRUE
1 2,0.08,0.30999999999999994,TRUE,TRUE
1 2,0.24,0.30999999999999994,FALSE,TRUE
1 2,0.16,0.19999999999999998,FALSE,TRUE
1 2,0.24,0.17999999999999997,FALSE,TRUE
1 20,0.12,NA,NA,FALSE
1 20,0.48,NA,NA,FALSE
1 20,0.48,NA,NA,FALSE
1 20,2.12,0.8,FALSE,FALSE
1 20,0.6,0.92,FALSE,FALSE
1 20,0.12,0.8300000000000001,TRUE,FALSE
1 20,0.24,0.77,TRUE,FALSE
1 20,0.24,0.30000000000000004,FALSE,FALSE
1 20,5.720000000000001,1.5800000000000003,FALSE,FALSE
1 20,276.96000000000004,70.79,FALSE,FALSE
1 20,0.12,70.76,TRUE,FALSE
1 20,0.48,70.82000000000001,TRUE,FALSE
1 20,1.44,69.75000000000001,TRUE,FALSE
1 20,0.12,0.54,TRUE,FALSE
1 20,0.36,0.6,FALSE,TRUE
1 20,0.6,0.63,FALSE,TRUE
1 20,0.36,0.36,FALSE,TRUE
1 20,0.12,0.36,TRUE,TRUE
1 20,0.24,0.32999999999999996,FALSE,TRUE
1 20,298,74.67999999999999,FALSE,TRUE
1 20,0.12,74.61999999999999,TRUE,TRUE
1 20,0.3333333333333333,74.67333333333333,TRUE,FALSE
1 20,66,91.11333333333333,FALSE,FALSE
1 20,6,18.11333333333333,TRUE,FALSE
1 20,16,22.08333333333333,FALSE,FALSE
1 20,360,112,FALSE,FALSE
1 20,162.32,136.08,FALSE,TRUE
1 20,239,194.33,FALSE,TRUE
1 20,95,214.08,TRUE,TRUE
1 20,40,134.08,TRUE,TRUE
1 20,222.07999999999998,149.02,FALSE,TRUE
1 20,123,120.02,FALSE,TRUE
1 20,354.5,184.895,FALSE,TRUE
1 20,202,225.395,FALSE,TRUE
1 20,144,205.875,FALSE,TRUE
1 20,172.16,218.165,FALSE,TRUE
1 20,126,161.04,FALSE,TRUE
1 20,88,132.54,FALSE,TRUE
1 20,604,247.54,FALSE,TRUE
1 20,109,231.75,TRUE,TRUE
1 21,0.3333333333333333,NA,NA,FALSE
1 21,0.12,NA,NA,FALSE
1 21,43,NA,NA,FALSE
