join_id,id,pagerank,week,num_msgs,vacation,lockdown,num_friends,new_cons,trans
177_2019-11-10,177,0.034741941499125545,2019-11-10T00:00:00Z,219,FALSE,FALSE,5,4,0.7473030866109214
187_2019-11-10,187,0.0563012000906197,2019-11-10T00:00:00Z,145,FALSE,FALSE,6,4,0.55806489690991945
190_2019-11-10,190,0.04783588672488347,2019-11-10T00:00:00Z,68,FALSE,FALSE,8,4,0.5826694824636414
194_2019-11-10,194,0.030598767240130005,2019-11-10T00:00:00Z,6,FALSE,FALSE,2,1,0.9601622633659247
22_2019-11-10,22,0.03266708116327665,2019-11-10T00:00:00Z,67,FALSE,FALSE,3,2,0.7772441456104305
235_2019-11-10,235,0.03206834898207799,2019-11-10T00:00:00Z,131,FALSE,FALSE,5,4,0.5337046577088528
244_2019-11-10,244,0.035936701230377184,2019-11-10T00:00:00Z,64,FALSE,FALSE,4,3,0.6602234578262686
259_2019-11-10,259,0.050386659210068054,2019-11-10T00:00:00Z,49,FALSE,FALSE,4,3,0.9241854636591473
260_2019-11-10,260,0.04334989035830776,2019-11-10T00:00:00Z,121,FALSE,FALSE,5,1,0.6543841692255196
270_2019-11-10,270,0.021720448777692566,2019-11-10T00:00:00Z,4,FALSE,FALSE,3,2,0.9195926025194325
29_2019-11-10,29,0.03667577987585421,2019-11-10T00:00:00Z,86,FALSE,FALSE,4,3,0.9386552586972303
292_2019-11-10,292,0.025964724705371176,2019-11-10T00:00:00Z,20,FALSE,FALSE,3,2,0.7055264361346619
293_2019-11-10,293,0.03682308949464254,2019-11-10T00:00:00Z,42,FALSE,FALSE,7,3,0.6209531688198932
296_2019-11-10,296,0.028758231755802523,2019-11-10T00:00:00Z,75,FALSE,FALSE,2,1,0.8524793677437408
305_2019-11-10,305,0.030031090815616272,2019-11-10T00:00:00Z,149,FALSE,FALSE,3,2,0.6391563376849971
309_2019-11-10,309,0.03706265355690764,2019-11-10T00:00:00Z,81,FALSE,FALSE,3,2,0.9347172530312003
38_2019-11-10,38,0.03130769588007013,2019-11-10T00:00:00Z,28,FALSE,FALSE,7,5,0.43236074270557034
4_2019-11-10,4,0.04699110940694876,2019-11-10T00:00:00Z,200,FALSE,FALSE,7,5,0.7138724656580694
5_2019-11-10,5,0.029531380612489187,2019-11-10T00:00:00Z,57,FALSE,FALSE,4,3,0.8630090802840953
55_2019-11-10,55,0.04108515358534254,2019-11-10T00:00:00Z,62,FALSE,FALSE,3,0,0.5844457130363983
63_2019-11-10,63,0.03848450171538119,2019-11-10T00:00:00Z,81,FALSE,FALSE,7,4,0.4248768585868812
83_2019-11-10,83,0.029586854569800695,2019-11-10T00:00:00Z,174,FALSE,FALSE,4,4,0.8035260865864727
123_2019-11-17,123,0.03145919327951638,2019-11-17T00:00:00Z,181,FALSE,FALSE,7,2,0.35568141237935397
14_2019-11-17,14,0.0310440881277427,2019-11-17T00:00:00Z,15,FALSE,FALSE,2,1,0.6472791798107258
155_2019-11-17,155,0.03427954008398348,2019-11-17T00:00:00Z,59,FALSE,FALSE,7,1,0.8250462389340785
158_2019-11-17,158,0.031097642987458665,2019-11-17T00:00:00Z,24,FALSE,FALSE,7,2,0.6941121743753312
164_2019-11-17,164,0.05353965046186035,2019-11-17T00:00:00Z,35,FALSE,FALSE,4,1,0.9286545917547989
165_2019-11-17,165,0.020670693808652635,2019-11-17T00:00:00Z,11.12,FALSE,FALSE,2,5,0.6741890073749293
177_2019-11-17,177,0.034741941499125545,2019-11-17T00:00:00Z,17,FALSE,FALSE,5,1,0.8970651432038245
187_2019-11-17,187,0.0563012000906197,2019-11-17T00:00:00Z,26,FALSE,FALSE,3,1,0.9213081747558975
190_2019-11-17,190,0.04783588672488347,2019-11-17T00:00:00Z,37,FALSE,FALSE,5,0,0.5789498728605605
194_2019-11-17,194,0.030598767240130005,2019-11-17T00:00:00Z,5,FALSE,FALSE,1,0,1.0248502994011983
22_2019-11-17,22,0.03266708116327665,2019-11-17T00:00:00Z,16,FALSE,FALSE,2,0,1.154427686813814
235_2019-11-17,235,0.03206834898207799,2019-11-17T00:00:00Z,75,FALSE,FALSE,5,0,0.5411458123986749
244_2019-11-17,244,0.035936701230377184,2019-11-17T00:00:00Z,45,FALSE,FALSE,2,0,0.6279300856094588
259_2019-11-17,259,0.050386659210068054,2019-11-17T00:00:00Z,22,FALSE,FALSE,2,0,0.6250690989496961
260_2019-11-17,260,0.04334989035830776,2019-11-17T00:00:00Z,89,FALSE,FALSE,4,0,0.6733360010670927
270_2019-11-17,270,0.021720448777692566,2019-11-17T00:00:00Z,6,FALSE,FALSE,4,0,1.01038327991453
29_2019-11-17,29,0.03667577987585421,2019-11-17T00:00:00Z,17,FALSE,FALSE,4,0,0.8415463486084976
292_2019-11-17,292,0.025964724705371176,2019-11-17T00:00:00Z,27,FALSE,FALSE,4,0,0.6650676370100741
293_2019-11-17,293,0.03682308949464254,2019-11-17T00:00:00Z,86,FALSE,FALSE,6,0,0.4258389862539553
296_2019-11-17,296,0.028758231755802523,2019-11-17T00:00:00Z,44,FALSE,FALSE,2,0,0.6010573403822681
305_2019-11-17,305,0.030031090815616272,2019-11-17T00:00:00Z,78,FALSE,FALSE,3,1,1.0594518508568662
309_2019-11-17,309,0.03706265355690764,2019-11-17T00:00:00Z,36,FALSE,FALSE,3,1,0.7385791245791221
38_2019-11-17,38,0.03130769588007013,2019-11-17T00:00:00Z,54.12,FALSE,FALSE,7,2,0.47105968871716847
4_2019-11-17,4,0.04699110940694876,2019-11-17T00:00:00Z,63,FALSE,FALSE,8,2,0.7677388836329244
5_2019-11-17,5,0.029531380612489187,2019-11-17T00:00:00Z,111,FALSE,FALSE,7,3,0.7800682097730042
55_2019-11-17,55,0.04108515358534254,2019-11-17T00:00:00Z,36,FALSE,FALSE,5,1,0.6804105077120809
63_2019-11-17,63,0.03848450171538119,2019-11-17T00:00:00Z,48,FALSE,FALSE,6,1,0.37788742014338256
83_2019-11-17,83,0.029586854569800695,2019-11-17T00:00:00Z,24,FALSE,FALSE,5,1,0.8417247329678242
123_2019-11-24,123,0.03145919327951638,2019-11-24T00:00:00Z,217,FALSE,FALSE,6,1,0.5818886921159637
14_2019-11-24,14,0.0310440881277427,2019-11-24T00:00:00Z,13,FALSE,FALSE,2,1,0.9000670016750448
155_2019-11-24,155,0.03427954008398348,2019-11-24T00:00:00Z,80,FALSE,FALSE,7,3,0.8143319818037966
158_2019-11-24,158,0.031097642987458665,2019-11-24T00:00:00Z,39,FALSE,FALSE,8,4,0.7330011977369091
164_2019-11-24,164,0.05353965046186035,2019-11-24T00:00:00Z,47,FALSE,FALSE,4,2,0.8428278559158386
165_2019-11-24,165,0.020670693808652635,2019-11-24T00:00:00Z,23,FALSE,FALSE,3,4,0.744871794871795
177_2019-11-24,177,0.034741941499125545,2019-11-24T00:00:00Z,71,FALSE,FALSE,5,3,0.7339793508050085
187_2019-11-24,187,0.0563012000906197,2019-11-24T00:00:00Z,50,FALSE,FALSE,6,2,0.7375732672669024
190_2019-11-24,190,0.04783588672488347,2019-11-24T00:00:00Z,56,FALSE,FALSE,6,1,0.5834927366887346
194_2019-11-24,194,0.030598767240130005,2019-11-24T00:00:00Z,2,FALSE,FALSE,2,0,1.5425324675324683
22_2019-11-24,22,0.03266708116327665,2019-11-24T00:00:00Z,15,FALSE,FALSE,3,4,0.7523909830635174
235_2019-11-24,235,0.03206834898207799,2019-11-24T00:00:00Z,172,FALSE,FALSE,5,2,1.0041493853106922
244_2019-11-24,244,0.035936701230377184,2019-11-24T00:00:00Z,31,FALSE,FALSE,3,1,1.2441703143652985
259_2019-11-24,259,0.050386659210068054,2019-11-24T00:00:00Z,62,FALSE,FALSE,2,3,1.1662866449511395
260_2019-11-24,260,0.04334989035830776,2019-11-24T00:00:00Z,222,FALSE,FALSE,5,10,0.5754392273707921
270_2019-11-24,270,0.021720448777692566,2019-11-24T00:00:00Z,5,FALSE,FALSE,1,1,0.7014531654942744
29_2019-11-24,29,0.03667577987585421,2019-11-24T00:00:00Z,42,FALSE,FALSE,4,1,0.8132002476013592
292_2019-11-24,292,0.025964724705371176,2019-11-24T00:00:00Z,15,FALSE,FALSE,4,3,0.9829925380366332
